customer_id,customer_name,email,signup_date
4174,Customer_4174,customer4174@email.com,2023-04-08 23:19:42.361162
4507,Customer_4507,customer4507@email.com,2022-12-18 23:19:42.361162
1860,Customer_1860,customer1860@email.com,2024-05-10 23:19:42.361162
2294,Customer_2294,customer2294@email.com,2025-03-04 23:19:42.361162
2130,Customer_2130,customer2130@email.com,2023-07-11 23:19:42.361162
2095,Customer_2095,customer2095@email.com,2024-08-01 23:19:42.361162
4772,Customer_4772,customer4772@email.com,2023-03-17 23:19:42.361162
4092,Customer_4092,customer4092@email.com,2023-01-10 23:19:42.361162
2638,Customer_2638,customer2638@email.com,2024-12-31 23:19:42.361162
3169,Customer_3169,customer3169@email.com,2025-03-06 23:19:42.361162
1466,Customer_1466,customer1466@email.com,2024-11-08 23:19:42.361162
2238,Customer_2238,customer2238@email.com,2024-01-09 23:19:42.361162
1330,Customer_1330,customer1330@email.com,2024-03-16 23:19:42.361162
2482,Customer_2482,customer2482@email.com,2023-12-28 23:19:42.361162
3135,Customer_3135,customer3135@email.com,2024-06-24 23:19:42.361162
4444,Customer_4444,customer4444@email.com,2023-12-28 23:19:42.361162
4171,Customer_4171,customer4171@email.com,2023-03-26 23:19:42.361162
3919,Customer_3919,customer3919@email.com,2023-03-20 23:19:42.361162
4735,Customer_4735,customer4735@email.com,2023-10-31 23:19:42.361162
1130,Customer_1130,customer1130@email.com,2024-09-01 23:19:42.361162
2685,Customer_2685,customer2685@email.com,2024-04-05 23:19:42.361162
4380,Customer_4380,customer4380@email.com,2023-05-30 23:19:42.361162
1769,Customer_1769,customer1769@email.com,2023-05-07 23:19:42.361162
3391,Customer_3391,customer3391@email.com,2024-03-25 23:19:42.361162
2515,Customer_2515,customer2515@email.com,2023-12-30 23:19:42.361162
4485,Customer_4485,customer4485@email.com,2024-08-03 23:19:42.361162
3853,Customer_3853,customer3853@email.com,2024-12-01 23:19:42.361162
3433,Customer_3433,customer3433@email.com,2023-11-02 23:19:42.361162
2215,Customer_2215,customer2215@email.com,2022-11-19 23:19:42.361162
1955,Customer_1955,customer1955@email.com,2024-02-08 23:19:42.361162
3324,Customer_3324,customer3324@email.com,2025-04-16 23:19:42.361162
2184,Customer_2184,customer2184@email.com,2024-07-07 23:19:42.361162
1459,Customer_1459,customer1459@email.com,2023-02-02 23:19:42.361162
4385,Customer_4385,customer4385@email.com,2024-01-25 23:19:42.361162
1021,Customer_1021,customer1021@email.com,2024-04-02 23:19:42.361162
3300,Customer_3300,customer3300@email.com,2023-06-04 23:19:42.361162
1747,Customer_1747,customer1747@email.com,2024-06-09 23:19:42.361162
3904,Customer_3904,customer3904@email.com,2023-11-03 23:19:42.361162
4632,Customer_4632,customer4632@email.com,2023-05-30 23:19:42.361162
1474,Customer_1474,customer1474@email.com,2025-03-17 23:19:42.361162
2082,Customer_2082,customer2082@email.com,2025-01-19 23:19:42.361162
3558,Customer_3558,customer3558@email.com,2023-11-01 23:19:42.361162
4753,Customer_4753,customer4753@email.com,2023-07-16 23:19:42.361162
3047,Customer_3047,customer3047@email.com,2024-05-01 23:19:42.361162
4547,Customer_4547,customer4547@email.com,2022-12-16 23:19:42.361162
3747,Customer_3747,customer3747@email.com,2024-02-11 23:19:42.361162
1975,Customer_1975,customer1975@email.com,2023-08-12 23:19:42.361162
2806,Customer_2806,customer2806@email.com,2023-07-01 23:19:42.361162
1189,Customer_1189,customer1189@email.com,2022-12-02 23:19:42.361162
4005,Customer_4005,customer4005@email.com,2024-07-23 23:19:42.361162
3734,Customer_3734,customer3734@email.com,2024-05-20 23:19:42.361162
1562,Customer_1562,customer1562@email.com,2024-07-26 23:19:42.361162
2899,Customer_2899,customer2899@email.com,2024-07-29 23:19:42.361162
4638,Customer_4638,customer4638@email.com,2023-01-28 23:19:42.361162
2267,Customer_2267,customer2267@email.com,2025-01-18 23:19:42.361162
3879,Customer_3879,customer3879@email.com,2024-08-10 23:19:42.361162
2528,Customer_2528,customer2528@email.com,2023-06-28 23:19:42.361162
4202,Customer_4202,customer4202@email.com,2023-09-08 23:19:42.361162
4556,Customer_4556,customer4556@email.com,2024-03-24 23:19:42.361162
4890,Customer_4890,customer4890@email.com,2024-01-12 23:19:42.361162
1646,Customer_1646,customer1646@email.com,2023-02-27 23:19:42.361162
3068,Customer_3068,customer3068@email.com,2023-06-07 23:19:42.361162
3888,Customer_3888,customer3888@email.com,2023-03-23 23:19:42.361162
3214,Customer_3214,customer3214@email.com,2024-08-24 23:19:42.361162
2297,Customer_2297,customer2297@email.com,2023-04-08 23:19:42.361162
3435,Customer_3435,customer3435@email.com,2023-06-10 23:19:42.361162
1600,Customer_1600,customer1600@email.com,2023-09-04 23:19:42.361162
3363,Customer_3363,customer3363@email.com,2023-03-02 23:19:42.361162
3061,Customer_3061,customer3061@email.com,2024-10-11 23:19:42.361162
1241,Customer_1241,customer1241@email.com,2023-11-13 23:19:42.361162
